article,date,views
Breast_cancer,2026-09-19,534
Breast_cancer,2026-09-20,466
Breast_cancer,2026-09-21,538
Breast_cancer,2026-09-22,584
Breast_cancer,2026-09-23,489
Breast_cancer,2026-09-24,502
Breast_cancer_awareness_month,2026-09-19,1
Breast_cancer_awareness_month,2026-09-20,3
Breast_cancer_awareness_month,2026-09-23,1
Breast_cancer_awareness_month,2026-09-24,3
Breast_self-examination,2026-09-19,13
Breast_self-examination,2026-09-20,16
Breast_self-examination,2026-09-21,17
Breast_self-examination,2026-09-22,22
Breast_self-examination,2026-09-23,27
Breast_self-examination,2026-09-24,24
Mammography,2026-09-19,78
Mammography,2026-09-20,66
Mammography,2026-09-21,100
Mammography,2026-09-22,106
Mammography,2026-09-23,117
Mammography,2026-09-24,104
