IndicatorCode,IndicatorName,SpatialDim,TimeDim,Dim1,NumericValue,Value
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CRI,2004,SEX_BTSX,96.0,96
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BLR,2004,SEX_BTSX,153.0,153
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",URY,2004,SEX_FMLE,370.0,370
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SGP,2004,SEX_BTSX,100.0,100
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",THA,2004,SEX_BTSX,89.0,89
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GAB,2004,SEX_FMLE,159.0,159
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TGO,2004,SEX_BTSX,188.0,188
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CHL,2004,SEX_FMLE,166.0,166
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ECU,2004,SEX_FMLE,168.0,168
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CMR,2004,SEX_FMLE,368.0,368
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KEN,2004,SEX_BTSX,93.0,93
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SUR,2004,SEX_MLE,12.0,12
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FIN,2004,SEX_BTSX,126.0,126
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ROU,2004,SEX_FMLE,253.0,253
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SVK,2004,SEX_BTSX,134.0,134
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PLW,2004,SEX_FMLE,270.0,270
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SLB,2004,SEX_BTSX,70.0,70
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",EGY,2004,SEX_BTSX,128.0,128
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",RWA,2004,SEX_FMLE,89.0,89
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CRI,2004,SEX_FMLE,188.0,188
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SYR,2004,SEX_FMLE,170.0,170
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NIU,2004,SEX_MLE,,5
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VNM,2004,SEX_FMLE,139.0,139
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",POL,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MYS,2004,SEX_FMLE,251.0,251
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IRQ,2004,SEX_FMLE,382.0,382
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TLS,2004,SEX_FMLE,218.0,218
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SVK,2004,SEX_MLE,,3
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BHS,2004,SEX_BTSX,219.0,219
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",AFG,2004,SEX_FMLE,506.0,506
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LKA,2004,SEX_BTSX,129.0,129
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDA,2004,SEX_BTSX,159.0,159
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CAN,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GRC,2004,SEX_FMLE,272.0,272
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TJK,2004,SEX_FMLE,142.0,142
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SAU,2004,SEX_BTSX,98.0,98
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NGA,2004,SEX_FMLE,497.0,497
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HRV,2004,SEX_MLE,,5
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HUN,2004,SEX_BTSX,166.0,166
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MEX,2004,SEX_FMLE,172.0,172
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BGR,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NGA,2004,SEX_BTSX,258.0,258
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",UGA,2004,SEX_FMLE,149.0,149
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FRA,2004,SEX_BTSX,182.0,182
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LUX,2004,SEX_FMLE,294.0,294
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SLE,2004,SEX_BTSX,261.0,261
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MLT,2004,SEX_FMLE,309.0,309
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SYC,2004,SEX_MLE,26.0,26
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MHL,2004,SEX_MLE,14.0,14
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VCT,2004,SEX_MLE,,4
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TUR,2004,SEX_FMLE,192.0,192
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TTO,2004,SEX_BTSX,209.0,209
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CHE,2004,SEX_BTSX,153.0,153
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CHL,2004,SEX_BTSX,87.0,87
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TUV,2004,SEX_MLE,12.0,12
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FSM,2004,SEX_BTSX,83.0,83
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ISR,2004,SEX_BTSX,179.0,179
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BLR,2004,SEX_FMLE,276.0,276
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",POL,2004,SEX_FMLE,256.0,256
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JAM,2004,SEX_MLE,,2
